name,latitude,longitude
Tân Sơn Nhì,10.7938599,106.6288109
Chung cư Gò Dầu,10.7957136,106.6282607
Cafe Tino,10.79594,106.6249146
Dương Văn Dương,10.7959217,106.617515
Ngã tư Gò Dầu - Tân Quý,10.7953058,106.6203649
Trạm Y tế Phường Tân Quý,10.7906992,106.6208267
240 Vườn Lài,10.7878312,106.6267785
Trạm Xe Bus Thực phẩm Cầu Tre,10.788083,106.6307064
100 Vườn Lài,10.7877244,106.6336824
14-16 Vườn Lài,10.7866903,106.6360314
Vòng xoay Lê Đại Hành,10.7696037,106.651568
Chợ Tân Phước,10.7718669,106.6499801
Trạm Xe Bus Công An Phường 10,10.7730549,106.6492087
Ngã tư Lạc Long Quân,10.7743607,106.6483843
Uỷ ban Nhân dân Phường 10,10.776098,106.6470824
Chợ Trần Văn Quang,10.7782976,106.6454747
Bàu Cát 8,10.7872481,106.6411615
Công ty Giấy Mai Lan,10.79369,106.6390081
Ngã ba Ba Vân,10.7960029,106.6382834
Ngã ba Bà Quẹo,10.8005979,106.6369862
Công Thọ,10.7842063,106.650851
Công Thọ,10.78433,106.6510088
Ni sư Huỳnh Liên,10.7810213,106.6501117
Chùa Giác Lâm,10.7782129,106.6499476
Âu Cơ,10.7741311,106.6474614
Trường THCS Lê Quý Đôn,10.7678704,106.6429813
Trường Tiểu học Phùng Hưng,10.7645449,106.6422492
Trạm Xe Bus Số 222 Lạc Long Quân,10.7621073,106.6421123
Trạm Xe Bus Chợ Bình Thới,10.7585252,106.642028
trạm xe bus Hàn Hải Nguyên - Minh Phụng,10.7584113,106.6436512
Trạm Xe Bus Số 176 Hàn Hải Nguyên,10.7581932,106.6467608
Hà Tôn Quyền,10.7594595,106.6521345
Lê Đại Hành,10.7615989,106.6560305
Nhà hát Hòa Bình,10.7717065,106.6742079
Nhà hát Hòa Bình,10.7719284,106.6748363
Học viện Hành chính Quốc gia,10.7733768,106.6772301
Công trường Dân Chủ,10.7785069,106.6804476
Rạp hát Thanh Vân,10.7836781,106.6707737
Chợ Hòa Hưng,10.7840832,106.6699956
Công Viên Lê Thị Riêng,10.7857536,106.6669098
Ngã ba Bành Văn Trân,10.7880857,106.6623537
Chùa An Quang,10.7661181,106.671879
Chung cư Ngô Gia Tự,10.7637637,106.6724825
Bệnh viện 30/4,10.7581136,106.6738508
Nhà thờ Cha Tam,10.7527056,106.6539917
Thuần Kiều Plaza,10.7540503,106.65673
Tản Đà,10.7523306,106.6637343
Đồng Khánh,10.7527105,106.6702826
Đồng Khánh,10.7529559,106.6714816
Bệnh viện Chấn thương Chỉnh Hình,10.7544024,106.6781386
Chợ An Lạc,10.7434493,106.6213535
Kinh Dương Vương,10.7449067,106.6231871
Công viên Phú Lâm,10.7464211,106.6244138
Hồ bơi Phú Lâm,10.7496164,106.6284012
Vòng xoay Phú Lâm,10.7534189,106.6333409
Nguyễn Biểu,10.7560844,106.6843556
Chợ Nancy,10.757051,106.68587
Mũi tàu Phú Lâm,10.7455031,106.6246349
Nguyễn Văn Luông,10.7480026,106.6346278
Chợ Thái Bình,10.7669423,106.6875927
Hồ bơi Đại Đồng,10.8070488,106.6950287
Ngã năm Bình Hòa,10.811933,106.6960758
Chợ Phan Văn Trị,10.8124685,106.6952967
Trường Trung cấp Xây dựng TP.HCM,10.8190474,106.7009191
UBND Phường 13,10.8196942,106.7033766
Nhà sách Miền Đông,10.8155578,106.7074115
Ngã sáu Dân Chủ,10.7785222,106.6826522
Đền Trần Hưng Đạo,10.7912747,106.6952364
Công viên Lê Văn Tám,10.7888286,106.6927829
Nhà Thiếu nhi Thành phố,10.7855814,106.6896706
Nhà Thiếu nhi Thành phố,10.7835856,106.6884339
Trạm điện Nguyễn Cửu Vân,10.796765,106.7031914
Trạm điện Nguyễn Cửu Vân,10.797252,106.7045256
Đại học Thể dục Thể thao,10.8705279,106.7961385
Vietcombank - Quốc lộ 1,10.8715667,106.7695683
Trạm Xe Bus Quốc Lộ 1 - Ngã 4 Bà Điểm,10.8352321,106.6074004
Qua Ngã tư Bà Điểm,10.8349577,106.6076027
